playername,iscaptain,position,profilelink,teamname
KL Rahul,True,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/422108.html,KXIP
Mayank Agarwal,False,Batsman,https://www.espncricinfo.com/ci/content/player/398438.html,KXIP
Nicholas Pooran,False,Batsman,https://www.espncricinfo.com/ci/content/player/604302.html,KXIP
Glenn Maxwell,False,Allrounder,https://www.espncricinfo.com/ci/content/player/325026.html,KXIP
Karun Nair,False,Batsman,https://www.espncricinfo.com/ci/content/player/398439.html,KXIP
James Neesham,False,Allrounder,https://www.espncricinfo.com/ci/content/player/355269.html,KXIP
Sarfaraz Khan,False,Batsman,https://www.espncricinfo.com/ci/content/player/642525.html,KXIP
Mohammed Shami,False,Bowler,https://www.espncricinfo.com/ci/content/player/481896.html,KXIP
Sheldon Cottrell,False,Bowler,https://www.espncricinfo.com/ci/content/player/495551.html,KXIP
Ravi Bishnoi,False,Bowler,https://www.espncricinfo.com/ci/content/player/1175441.html,KXIP
Murugan Ashwin,False,Bowler,https://www.espncricinfo.com/ci/content/player/528067.html,KXIP
Devdutt Padikkal,False,Batsman,https://www.espncricinfo.com/ci/content/player/1119026.html,RCB
Aaron Finch,False,Batsman,https://www.espncricinfo.com/ci/content/player/5334.html,RCB
Josh Philippe,False,Wicketkeeper,https://www.espncricinfo.com/ci/content/player/1124282.html,RCB
Virat Kohli,True,Batsman,https://www.espncricinfo.com/ci/content/player/253802.html,RCB
AB de Villiers,False,Batsman,https://www.espncricinfo.com/ci/content/player/44936.html,RCB
Washington Sundar,False,Allrounder,https://www.espncricinfo.com/ci/content/player/719715.html,RCB
Shivam Dube,False,Allrounder,https://www.espncricinfo.com/ci/content/player/714451.html,RCB
Umesh Yadav,False,Bowler,https://www.espncricinfo.com/ci/content/player/376116.html,RCB
Navdeep Saini,False,Bowler,https://www.espncricinfo.com/ci/content/player/700167.html,RCB
Dale Steyn,False,Bowler,https://www.espncricinfo.com/ci/content/player/47492.html,RCB
Yuzvendra Chahal,False,Bowler,https://www.espncricinfo.com/ci/content/player/430246.html,RCB
